genres,app_name,item_id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,sin dato,release_date
['Action'],Hard Reset: Exile DLC,98421,Flying Wild Hog,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Spiral Knights: Guardians Armor Pack,206522,Grey Havens,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Law (Swap Costume),210056,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: King (Swap Costume),210057,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Julia (Swap Costume),210062,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Paul (Swap Costume),210055,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['RPG', 'Strategy']",Might & Magic: Heroes VI - Pirates of the Savage Sea Adventure Pack,48231,Limbic Entertainment GmhH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Ibuki (Swap Costume),210039,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Rolento (Swap Costume),210038,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Sagat (Swap Costume),210037,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Dhalsim (Swap Costume),210036,"Capcom U.S.A., Inc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Abel (Swap Costume),210035,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Lili (Swap Costume),210052,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Zangief (Swap Costume),210043,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Raven (Swap Costume),210064,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Yoshimitsu (Swap Costume),210063,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Jin (Swap Costume),210065,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Ogre (Swap Costume),210067,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Xiaoyu (Swap Costume),210066,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Tekken Swap Costume Complete Pack,210069,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 1,210072,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 2,210073,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],MDK2 HD,213350,Overhaul Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie']",Shatter: Official Videogame Soundtrack,20828,Sidhe,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Adventure'],The Book of Unwritten Tales Digital Extras,215200,KING Art,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Strategy'],Hearts of Iron III: US Infantry Sprite Pack,214980,Paradox Development Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Adventure'],The Book of Unwritten Tales,215160,KING Art,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Strategy'],Victoria II: A House Divided - American Civil War Spritepack,215000,Paradox Development Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Action'],Street Fighter X Tekken: Street Fighter Swap Costume Complete Pack,210068,"Capcom U.S.A., Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",A Virus Named TOM,207650,Misfits Attic,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Action'],eXceed 2nd - Vampire REX,207380,Tennen-sozai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Casual', 'Indie']",A Virus Named TOM Soundtrack,207655,Misfits Attic,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],eXceed 3rd - Jade Penetrate Black Package,207400,Tennen-sozai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Casual', 'Indie', 'Strategy']",Ticket to Ride - Legendary Asia,108233,Days of Wonder,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Racing']",Death Rally,108700,"Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
['Simulation'],Train Simulator: CN SD40-2 Wide Nose Loco Add-On,208355,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Action'],Sleeping Dogs: The Red Envelope Pack,215243,United Front Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Simulation'],Train Simulator: SD70 V2 Volume 2 Loco Add-On,208365,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Action'],Killing Floor - Ash Harding Character Pack,210931,Tripwire Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Indie', 'Strategy']",Hero Academy,209270,Robot Entertainment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Simulation'],Train Simulator: DB ICE 3 EMU Add-On,208283,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Action', 'Strategy']",Iron Brigade,115120,Double Fine Productions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Action'],Sleeping Dogs: Top Dog Silver Pack,215241,United Front Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Sleeping Dogs: Retro Triad Pack,215240,United Front Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Sleeping Dogs - High Resolution Texture Pack,202181,United Front Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie', 'Simulation', 'Strategy']",Galaxy on Fire 2™ Full HD,212010,Fishlabs Entertainment GmbH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2012
['Action'],Counter-Strike: Global Offensive,730,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['RPG'],STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,208580,"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2005
"['Action', 'Indie', 'RPG']",Din's Curse,217290,Soldak Entertainment,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2010
"['Indie', 'Casual']",AVSEQ,207670,Big Robot Ltd,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Simulation'],Train Simulator: Southern Pacific Cab Forward Loco Add-On,208292,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Simulation'],Train Simulator: PRR GE 44 Loco Add-On,208341,Digital Train Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Simulation'],Train Simulator: UP GE 44 Loco Add-On,208342,Digital Train Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Premium Card Pack 3,216458,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Killah Kitteh,216454,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Steampunk Costume,216447,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Stitches,216449,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Ninja Costume,216444,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Indie'],Closure,72000,Eyebrow Interactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Harlette,216455,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Support Item Pack - Professional,216434,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Weapon Pack - Ultimate,216432,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Support Item Pack - Starter,216433,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Crocky,216448,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Weapon Pack - Professional,216431,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Premium Card Pack 6,216461,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Costume Coin Boost - Solo,216462,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Indie'],To the Moon Soundtrack,206450,Freebird Games,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Adventure']",Batman: Arkham City - Game of the Year Edition,200260,"Rocksteady Studios,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Adventure', 'Indie', 'RPG']",To the Moon,206440,Freebird Games,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2011
"['Action', 'Indie']",Intrusion 2,214970,Aleksey Abramenko,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Gotham City Impostors Free to Play: Ultimate Impostor Kit,216468,"Monolith Productions, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie', 'Casual']",Critter Crunch,61730,Capybara Games,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Strategy'],Hearts of Iron III: Sounds of Conflict,214981,Paradox Interactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Simulation']",Arma 2: Army of the Czech Republic,33934,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Action'],Jet Set Radio,205950,Blit Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Strategy'],Magic: The Gathering - Duels of the Planeswalkers 2013 Expansion,97350,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Expendable Clunk Skin,204312,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Bumble Gnaw Skin,204310,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Hotrod Derpl Skin,204308,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Kosmonaut Yuri Skin,204309,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Grandmaster Splash Skin,204307,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Awesomenauts - Coco Hawaii Skin,204304,Ronimo Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['RPG', 'Strategy']",Might & Magic: Heroes VI - Danse Macabre Adventure Pack,48232,Limbic Entertainment GmbH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Renegade Weapons Pack,210016,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Classic Weapons Pack,210018,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Elite Weapons Pack,210017,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Echo Six Expansion Pack 1,210012,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Weapon Stash,210019,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Resident Evil: Operation Raccoon City - Echo Six Expansion Pack 2,210013,Slant Six Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Strategy'],"Wargame: European Escalation - ""Commander"" (Free DLC)",58648,Eugen Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Adventure'],The Testament of Sherlock Holmes,205650,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],ETHER VAPOR Remaster,214570,Edelweiss,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Strategy']",Carrier Command: Gaea Mission,65740,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Animation &amp; Modeling'],3D-Coat V4.8,100980,Pilgway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie']",BIT.TRIP.CORE Soundtrack,205063,Gaijin Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie', 'Strategy']",Cortex Command,209670,Data Realms,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Action'],Dogfight 1942 Russia Under Siege,217962,City Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Indie']",BIT.TRIP CORE,205060,Gaijin Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'RPG']",Borderlands 2: Mechromancer Pack,213230,"Gearbox Software,Aspyr (Mac &amp; Linux)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Aura Servants"" Deck Key",97380,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Mindstorms"" Deck Key",97384,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Mindstorms"" Foil Conversion",97385,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Collective Might"" Foil Conversion",97389,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Aura Servants"" Foil Conversion",97381,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Queen - Keep Yourself Alive,206146,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Collective Might"" Deck Key",97388,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
['Strategy'],"Duels 2013 ""Sepulchral Strength"" Deck Key",97382,Stainless Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Adventure', 'Indie']",Rocketbirds: Hardboiled Chicken,215510,Ratloop Asia,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
['Action'],Doom 3: BFG Edition,208200,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'RPG']",Borderlands 2 - Captain Scarlett and her Pirate's Booty,207870,"Gearbox Software,Aspyr (Mac &amp; Linux)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Racing']",Sleeping Dogs - Street Racer Pack,215247,United Front Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
"['Action', 'Adventure']",Sleeping Dogs - Tactical Soldier Pack,215246,United Front Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Action', 'Strategy', 'RPG', 'Indie']",Dungeon Defenders Anniversary Pack,222680,Trendy Entertainment,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2012
['Strategy'],Crusader Kings II: Songs of Byzantium,210901,Paradox Interactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - My Chemical Romance - Planetary (GO!),206141,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - 3 Doors Down - 3-Song Pack,206120,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Police - Synchronicity II,206133,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - 3 Doors Down - Loser,206119,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - 3 Doors Down - When I'm Gone,206117,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - blink-182 - All The Small Things,206114,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - blink-182 - Dammit,206113,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Black Keys - Just Got To Be,206106,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Pearl Jam - Black,206111,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Police - Roxanne,206131,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Queen - Stone Cold Crazy,206144,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Allman Brothers Band - Jessica,206094,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Marvin Gaye - What's Going On,206156,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Albert King with Stevie Ray Vaughan - Born Under a Bad Sign,206123,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Blues Brothers Band - Soul Man,206122,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Black Keys 3-Song Pack,206107,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Megadeth 3-Song Pack,206102,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Queen 5-Song Pack,206148,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - My Chemical Romance 3-Song Pack,206142,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Allman Brothers Band - Whipping Post,206160,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - My Chemical Romance - Na Na Na (Na Na Na Na Na),206140,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Temptations - My Girl,206155,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Megadeth - Public Enemy No. 1,206101,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Deep Purple - Smoke on the Water,206095,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - Megadeth - Symphony of Destruction,206099,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith™,205190,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Adventure', 'Indie']",Edna & Harvey: Harvey's New Eyes,219910,Daedalic Entertainment,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Indie', 'Strategy']",Unity of Command: Stalingrad Campaign,218090,2x2 Games,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
"['Action', 'Indie']",Primal Carnage,215470,Lukewarm Media,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - The Knack - My Sharona,206151,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"['Casual', 'Simulation']",Rocksmith - 3 Doors Down - Kryptonite,206118,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
